rep,source_root,phase,dataset,mode,baseline,seed,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
1,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_no_cache,42,/home/benchmark/gemma4_lmcache_5rep/full/rep_42/ag_news/rag/lmcache_no_cache/benchmark_lmcache_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.266248,10.364948,11.604235,13.34487,88.754899,40000,40256,0,0.0,0.0,0.0,0.0,1165.576,1002.395,4.553031,3.915607,0.029139,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_no_cache,123,/home/benchmark/gemma4_lmcache_5rep/full/rep_123/ag_news/rag/lmcache_no_cache/benchmark_lmcache_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.138461,10.247384,11.444805,13.161526,89.773149,40000,40256,0,0.0,0.0,0.0,0.0,1155.847,994.028,4.515027,3.882924,0.028896,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_no_cache,456,/home/benchmark/gemma4_lmcache_5rep/full/rep_456/ag_news/rag/lmcache_no_cache/benchmark_lmcache_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.065953,10.180677,11.370448,13.076015,90.361375,40000,40256,0,0.0,0.0,0.0,0.0,1148.305,987.542,4.485566,3.857587,0.028708,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_no_cache,789,/home/benchmark/gemma4_lmcache_5rep/full/rep_789/ag_news/rag/lmcache_no_cache/benchmark_lmcache_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.065033,10.17983,11.36965,13.075097,90.368883,40000,40256,0,0.0,0.0,0.0,0.0,1148.191,987.444,4.485121,3.857204,0.028705,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_no_cache,999,/home/benchmark/gemma4_lmcache_5rep/full/rep_999/ag_news/rag/lmcache_no_cache/benchmark_lmcache_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.1351,10.244292,11.441738,13.157999,89.800244,40000,40256,0,0.0,0.0,0.0,0.0,1155.45,993.687,4.513477,3.88159,0.028886,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache,42,/home/benchmark/gemma4_lmcache_5rep/full/rep_42/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.319913,8.57432,9.59951,11.039436,107.290132,40000,40256,0,40000.0,24400.0,0.0,0.0,927.128,797.33,3.621594,3.114571,0.023178,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache,123,/home/benchmark/gemma4_lmcache_5rep/full/rep_123/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.208289,8.471626,9.461545,10.880777,106.262162,40000,40256,0,40000.0,24400.0,0.0,0.0,918.8,790.168,3.589062,3.086594,0.02297,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache,456,/home/benchmark/gemma4_lmcache_5rep/full/rep_456/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.208872,8.472162,9.462266,10.881606,106.267531,40000,40256,0,40000.0,24400.0,0.0,0.0,918.844,790.206,3.589234,3.086742,0.022971,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache,789,/home/benchmark/gemma4_lmcache_5rep/full/rep_789/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.209455,8.472699,9.462986,10.882434,106.272899,40000,40256,0,40000.0,24400.0,0.0,0.0,918.887,790.243,3.589402,3.086886,0.022972,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache,999,/home/benchmark/gemma4_lmcache_5rep/full/rep_999/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.209823,8.473037,9.463441,10.882957,106.276285,40000,40256,0,40000.0,24400.0,0.0,0.0,918.915,790.267,3.589512,3.08698,0.022973,nvml,,False,,0,0,0,0
