timestamp	event	model_slug	model_id	arm	seed	dataset	prompt_mode	requests
2026-08-20T02:02:24-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:02:54-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:03:51-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:10:39-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:12:15-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:12:47-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:13:09-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:14:00-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:14:33-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:15:35-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:24:38-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:25:11-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:25:31-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:27:08-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:27:40-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:29:01-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T02:29:32-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T02:29:46-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T02:31:27-04:00	start	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T02:32:08-04:00	start	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T02:32:23-04:00	pass	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T02:34:05-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:34:47-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:35:09-04:00	pass	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:36:46-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:37:50-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:38:50-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:52:44-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:53:16-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	16
2026-08-20T02:54:53-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:55:26-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:55:45-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	16
2026-08-20T02:56:52-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:57:23-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:57:45-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	16
2026-08-20T02:58:41-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T02:59:11-04:00	start	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T02:59:25-04:00	pass	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	16
2026-08-20T03:01:07-04:00	start	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T03:01:47-04:00	start	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T03:02:02-04:00	pass	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	16
2026-08-20T03:03:44-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T03:04:24-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T03:04:48-04:00	pass	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	16
2026-08-20T03:06:29-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T03:07:11-04:00	start	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T03:07:33-04:00	pass	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	16
2026-08-20T03:09:10-04:00	start	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	samsum	templated	16
2026-08-20T03:09:49-04:00	start	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	samsum	templated	16
2026-08-20T03:10:05-04:00	pass	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	samsum	templated	16
