model_slug,model,rep,dataset,mode,baseline,runner_baseline,seed,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,idle_adjusted_joules_per_request,gpu_energy_j,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_tokens_mean,admission_plans_total,admission_allow_total,admission_bypass_total,admission_bypass_store_successes,store_successes,lmcache_retrieve_events,lmcache_store_events,benchmark_path
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,rag,lmcache_no_native_radix,lmcache,20261041,46.76965636053865,46.670083480421454,48.74859770643525,50.340925401542336,21.381384380744315,21.61377815449668,6731.174,48306,256,0,0.0,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/rag/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,rag,sglang_radix_attention,sglang_radix_attention,20261041,43.40848505444228,43.17424655891955,45.51876327604987,47.33809165190905,23.0369707384585,16.775003657538345,5419.958,48306,256,33207,129.71484375,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,rag,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261041,42.61404573207983,42.57721605245024,44.32320024352521,45.865091565065086,23.466441235998406,16.616948091616553,5389.883,48306,256,33207,129.71484375,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,templated,lmcache_no_native_radix,lmcache,20261040,46.52585727535552,46.19995545363054,49.14484950131737,59.111278329510235,21.49342448612321,21.534755944821633,6728.732,46209,256,0,0.0,0,0,0,0,0,0,3,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/templated/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_templated.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,templated,sglang_radix_attention,sglang_radix_attention,20261040,43.13659348326837,43.0206079618074,45.12700904160738,47.169281163951375,23.182173631487046,16.800612078590966,5410.025,46209,256,30393,118.72265625,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_templated.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,ag_news,templated,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261040,42.50715307307473,42.3051489633508,45.167110016336665,46.930882876040414,23.525452252257022,16.795482556957765,5415.915,46209,256,30393,118.72265625,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/ag_news/templated/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_public_dataset_ag_news_templated.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,daily_dialog,rag,lmcache_no_native_radix,lmcache,20261001,49.58504616706705,47.28232097113505,61.847226752433926,70.48535697977059,20.167370554233162,23.147685759546526,7164.2,58369,256,512,2.0,0,0,0,0,0,2,68,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/daily_dialog/rag/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-14B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,daily_dialog,rag,sglang_radix_attention,sglang_radix_attention,20261001,43.91868632683327,43.56836143415421,47.82646748935804,52.010778762632945,22.769351354414805,17.454223414417072,5536.595,58369,256,40087,156.58984375,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,daily_dialog,rag,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261001,43.15552407842915,42.70984057802707,47.08391657914035,52.5093215634115,23.172004542979,17.446523659769245,5547.128,58369,256,40087,156.58984375,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/daily_dialog/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,daily_dialog,templated,lmcache_no_native_radix,lmcache,20261000,48.48609396867687,46.83956201188266,61.17568627814762,62.83185719512402,20.624470196465463,22.72858729947095,7023.686,54350,256,256,1.0,0,0,0,0,0,1,43,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_qwen14b_identical_blocks_3reps_2026-06-17/qwen25_14b/rep_1/daily_dialog/templated/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-14B-Instruct_public_dataset_daily_dialog_templated.json
