dataset,early_layer_attempts,early_layer_hits,engine,exact_non_scaffold_policy_total,exact_policy_total,exact_scaffold_hits,hit_rate,logit_guard_attempts,logit_guard_hits,model,n_requests,path_reading,prompt_mode,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_policy_total,semantic_partial_reused_tokens_total,semantic_scaffold_store_successes,source_json
ag_news,,,frequency_speculative,0,0,0,0.0,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/frequency_speculative/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,greedy_prefix_cache,0,0,0,0.9921875,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,127,16256,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/greedy_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,native_prefix_cache,0,0,0,1.0,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,0,8960,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/native_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,reactive_prefix_cache,0,0,0,0.9921875,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,127,16256,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/reactive_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-31B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus_best_latency,0,127,127,0.9921875,,,google/gemma-4-31B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_best_latency/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus_lite,0,0,0,0.9921875,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_lite/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus_raw_observer,0,127,127,0.9921875,,,google/gemma-4-31B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_raw_observer/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,strict_reactive_prefix_cache,0,0,0,0.9921875,,,google/gemma-4-31B-it,128,no_reuse_path_executed,semantic,127,16256,,,,42,,,,0,0,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/strict_reactive_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json
