platform,metric,no_cache,native,occupancy_cap,enforced_meritkv
Blackwell_vLLM_Qwen2.5_32B,mean_latency_ms,72.8,59.4,61.2,59.6
Blackwell_vLLM_Qwen2.5_32B,p95_latency_ms,89.9,73.6,76.2,73.9
Blackwell_vLLM_Qwen2.5_32B,phase3_recovery_pct,0,54.8,78.2,91.6
Blackwell_vLLM_Qwen2.5_32B,phase1_hit_rate_pct,0,100,100,100
Blackwell_vLLM_Qwen2.5_32B,victim_misses_of_15,0,11.8,4.2,3.2
Blackwell_vLLM_Qwen2.5_32B,victim_miss_rate_pct,,78.7,28.0,21.3
Blackwell_vLLM_Qwen2.5_32B,p95_victim_latency_ms,,185.4,151.2,142.1
Blackwell_vLLM_Qwen2.5_32B,phase1_declined_admissions,,0,32.0,34.6
Blackwell_vLLM_Qwen2.5_32B,stored_but_unreused_kv,,0.12,0.06,0.04
Blackwell_vLLM_Qwen2.5_32B,reload_bytes_victims_gb,,2.34,0.82,0.68
T4_HF_Qwen2.5_7B,mean_latency_ms,78.4,62.1,64.8,62.3
T4_HF_Qwen2.5_7B,p95_latency_ms,102.3,72.4,78.1,73.1
T4_HF_Qwen2.5_7B,phase3_recovery_pct,0,2.0,62.4,97.3
T4_HF_Qwen2.5_7B,phase1_hit_rate_pct,0,99.5,48.2,71.2
T4_HF_Qwen2.5_7B,victim_misses_of_15,0,14.8,1.2,0.6
T4_HF_Qwen2.5_7B,victim_miss_rate_pct,,98.7,8.0,4.0
T4_HF_Qwen2.5_7B,p95_victim_latency_ms,,122.8,12.4,8.3
T4_HF_Qwen2.5_7B,phase1_declined_admissions,,0,32.0,27.8

