dataset,gpt2,tinyllama,qwen2_5_1_5b,gemma_2b,phi_3_mini,precision,shared_prefix_ratio
ag_news,0.88,0.97,0.20,0.98,0.93,float16,0.75
banking77,0.89,0.98,0.18,0.98,0.94,float16,0.75
alpaca_eval,0.87,0.97,0.22,0.97,0.93,float16,0.75
dolly,0.88,0.96,0.19,0.97,0.93,float16,0.75
daily_dialog,0.86,0.96,0.21,0.97,0.92,float16,0.75
oasst1,0.88,0.97,0.17,0.98,0.94,float16,0.75
ultrachat,0.89,0.96,0.20,0.97,0.93,float16,0.75
samsum,0.87,0.97,0.22,0.98,0.93,float16,0.75
xsum,0.86,0.96,0.19,0.97,0.92,float16,0.75
cnn_dailymail,0.87,0.96,0.20,0.97,0.93,float16,0.75

