[2026-08-24 03:40:05] INFO:     127.0.0.1:42952 - "GET /model_info HTTP/1.1" 200 OK
[2026-08-24 03:40:07] INFO:     127.0.0.1:42966 - "GET /v1/models HTTP/1.1" 200 OK
[2026-08-24 03:40:07] INFO:     127.0.0.1:42974 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:12] INFO:     127.0.0.1:38338 - "GET /v1/models HTTP/1.1" 200 OK
[2026-08-24 03:40:12] INFO:     127.0.0.1:38348 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:17] INFO:     127.0.0.1:38354 - "GET /v1/models HTTP/1.1" 200 OK
[2026-08-24 03:40:17] INFO:     127.0.0.1:38360 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:20] INFO:     127.0.0.1:42960 - "POST /generate HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57820 - "GET /v1/models HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57830 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57840 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57842 - "POST /flush_cache?timeout=30 HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57846 - "POST /shadowkv_admission_metrics/reset HTTP/1.1" 200 OK
[2026-08-24 03:40:22] INFO:     127.0.0.1:57860 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:23] INFO:     127.0.0.1:57876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:23] INFO:     127.0.0.1:57890 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57902 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57904 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57920 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57936 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57946 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:24] INFO:     127.0.0.1:57952 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:25] INFO:     127.0.0.1:57954 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:25] INFO:     127.0.0.1:57968 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:25] INFO:     127.0.0.1:57974 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-08-24 03:40:25] INFO:     127.0.0.1:57988 - "GET /metrics HTTP/1.1" 200 OK
[2026-08-24 03:40:26] INFO:     127.0.0.1:57996 - "POST /v1/chat/completions HTTP/1.1" 200 OK
