[2026-06-17 05:56:16] INFO:     127.0.0.1:43388 - "GET /health HTTP/1.1" 503 Service Unavailable
[2026-06-17 05:56:17] INFO:     127.0.0.1:43966 - "GET /model_info HTTP/1.1" 200 OK
[2026-06-17 05:56:17] INFO:     127.0.0.1:43968 - "GET /v1/models HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:43978 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47256 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47264 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47280 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:43976 - "POST /generate HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47294 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47306 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47320 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47330 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:33] INFO:     127.0.0.1:47344 - "POST /flush_cache?timeout=30 HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47582 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47598 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47604 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47606 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47618 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47622 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47644 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47650 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:38] INFO:     127.0.0.1:47666 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47674 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47678 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47682 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47698 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47710 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 05:56:39] INFO:     127.0.0.1:47724 - "POST /v1/chat/completions HTTP/1.1" 200 OK
