dataset,mode,baseline,mean_latency_ms,p95_latency_ms,throughput_rps,cached_tokens_total,cached_tokens_mean,idle_adjusted_joules_per_request,gpu_energy_j,prompt_tokens_total,lmcache_retrieve_events,lmcache_store_events,benchmark_path
ag_news,rag,lmcache_no_native_radix,46.44405796807405,49.76825145131442,21.53127964587863,0,0.0,21.23899530663636,1653.469,11857,0,0,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/ag_news/rag/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_ag_news_rag.json
ag_news,templated,lmcache_no_native_radix,46.14632523680484,47.90448359854054,21.670197894813775,0,0.0,20.587485426556448,1603.562,11153,0,0,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/ag_news/templated/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_ag_news_templated.json
daily_dialog,rag,lmcache_no_native_radix,48.50861523755157,60.569526243489236,20.614894799674232,256,4.0,22.548200112928612,1760.268,14003,1,12,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/daily_dialog/rag/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_daily_dialog_rag.json
daily_dialog,templated,lmcache_no_native_radix,47.383266919496236,59.268100518966094,21.10449669287243,256,4.0,21.283786994583185,1662.117,13043,1,7,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/daily_dialog/templated/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_daily_dialog_templated.json
dolly,rag,lmcache_no_native_radix,48.77318935632502,64.19650046736932,20.50306763197797,0,0.0,22.218930484875933,1730.846,13461,0,15,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/dolly/rag/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_dolly_rag.json
dolly,templated,lmcache_no_native_radix,48.33498391963076,64.26932643807957,20.688948643548844,0,0.0,22.57631601205076,1738.912,12309,0,13,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/dolly/templated/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_dolly_templated.json
samsum,rag,lmcache_no_native_radix,53.091880737156316,67.69239586719776,18.835271723575442,1280,20.0,24.345792696500972,1894.379,18747,5,38,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/samsum/rag/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_samsum_rag.json
samsum,templated,lmcache_no_native_radix,52.588789234505384,68.58943458646534,19.015459655113418,1024,16.0,23.782358672232423,1844.524,17787,4,37,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/samsum/templated/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_samsum_templated.json
xsum,rag,lmcache_no_native_radix,62.95334116111917,76.85270512884017,15.884780403325335,2304,36.0,30.111748562282486,2341.091,27952,8,60,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/xsum/rag/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_xsum_rag.json
xsum,templated,lmcache_no_native_radix,61.380540310892684,70.61411574541125,16.291808363611594,2048,32.0,28.721087432549737,2228.684,26992,8,60,/home/jade_hand/research/shadowkv/results_lmcache_no_native_radix_qwen14b_matrix_2026-06-14/xsum/templated/lmcache_no_native_radix/benchmark_lmcache__cache_huggingface_hub_models--Qwen--Qwen2_5-14B-Instruct_snapshots_cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8_public_dataset_xsum_templated.json
