model,model_label,engine,seeds,mean_evictions_per_seed,total_evictions,warmup_hit_rate,pressure_hit_rate,recovery_hit_rate,first_recovery_hit_rate,later_recovery_hit_rate,warmup_latency_ms,pressure_latency_ms,recovery_latency_ms,recovery_speedup_vs_no_cache,peak_memory_used_mb,peak_entries_stored,store_attempts_total,store_successes_total,reuse_attempts_total,reuse_successes_total,learned_policy_admit_total,learned_policy_bypass_total,learned_policy_flip_to_admit_total,learned_policy_flip_to_bypass_total
gpt2,GPT-2,no_cache,5,0,0,0.0,0.0,0.0,0.0,0.0,13.33,12.45,12.7,1.0,0.0,0,250,250,190,190,0,0,0,0
gpt2,GPT-2,shadow_kv,5,0,0,0.0,0.0,0.0,0.0,0.0,13.33,12.45,12.7,0.9999,93.66,3,250,250,190,190,0,0,0,0
gpt2,GPT-2,shadow_kv_plus,5,0.3,1.5,0.0053,0.0053,0.9999,0.9999,0.9999,13.33,12.45,12.7,1.0,93.66,3,250,250,190,190,0,0,0,0
gpt2,GPT-2,learned_raw,5,0.3,1.5,0.0053,0.0053,0.9997,0.9997,0.9997,13.33,12.45,12.7,1.0,93.66,3,250,250,190,190,190,250,0,0
gpt2,GPT-2,learned_utility,5,0.3,1.5,0.0053,0.0053,0.9997,0.9997,0.9997,13.33,12.45,12.7,1.0,93.66,3,250,250,190,190,190,250,0,0
qwen25_15b,Qwen2.5-1.5B,no_cache,5,0,0,0.0,0.0,0.0,0.0,0.0,80.33,74.97,76.5,1.0,0.0,0,250,250,190,190,0,0,0,0
qwen25_15b,Qwen2.5-1.5B,shadow_kv,5,0,0,0.0,0.0,0.0,0.0,0.0,80.33,74.97,76.5,0.9999,72.84,3,250,250,190,190,0,0,0,0
qwen25_15b,Qwen2.5-1.5B,shadow_kv_plus,5,0.3,1.5,0.0052,0.0052,0.9999,0.9999,0.9999,80.33,74.97,76.5,1.0,72.84,3,250,250,190,190,0,0,0,0
qwen25_15b,Qwen2.5-1.5B,learned_raw,5,0.3,1.5,0.0052,0.0052,0.9997,0.9997,0.9997,80.33,74.97,76.5,1.0,72.84,3,250,250,190,190,190,250,0,0
qwen25_15b,Qwen2.5-1.5B,learned_utility,5,0.3,1.5,0.0052,0.0052,0.9997,0.9997,0.9997,80.33,74.97,76.5,1.0,72.84,3,250,250,190,190,190,250,0,0
tinyllama_11b,TinyLlama-1.1B,no_cache,5,0,0,0.0,0.0,0.0,0.0,0.0,61.84,57.72,58.9,1.0,0.0,0,250,250,190,190,0,0,0,0
tinyllama_11b,TinyLlama-1.1B,shadow_kv,5,0,0,0.0,0.0,0.0,0.0,0.0,61.84,57.72,58.9,1.0,57.23,3,250,250,190,190,0,0,0,0
tinyllama_11b,TinyLlama-1.1B,shadow_kv_plus,5,0.2,1.0,0.0038,0.0038,0.9999,0.9999,0.9999,61.84,57.72,58.9,1.0,57.23,3,250,250,190,190,0,0,0,0
tinyllama_11b,TinyLlama-1.1B,learned_raw,5,0.2,1.0,0.0038,0.0038,0.9998,0.9998,0.9998,61.84,57.72,58.9,1.0,57.23,3,250,250,190,190,190,250,0,0
tinyllama_11b,TinyLlama-1.1B,learned_utility,5,0.2,1.0,0.0038,0.0038,0.9998,0.9998,0.9998,61.84,57.72,58.9,1.0,57.23,3,250,250,190,190,190,250,0,0
gemma2b,Gemma-2B,no_cache,5,0,0,0.0,0.0,0.0,0.0,0.0,116.97,109.17,111.4,1.0,0.0,0,250,250,190,190,0,0,0,0
gemma2b,Gemma-2B,shadow_kv,5,0,0,0.0,0.0,0.0,0.0,0.0,116.97,109.17,111.4,1.0,46.83,3,250,250,190,190,0,0,0,0
gemma2b,Gemma-2B,shadow_kv_plus,5,0.2,1.0,0.004,0.004,0.9999,0.9999,0.9999,116.97,109.17,111.4,1.0,46.83,3,250,250,190,190,0,0,0,0
gemma2b,Gemma-2B,learned_raw,5,0.2,1.0,0.004,0.004,0.9998,0.9998,0.9998,116.97,109.17,111.4,1.0,46.83,3,250,250,190,190,190,250,0,0
gemma2b,Gemma-2B,learned_utility,5,0.2,1.0,0.004,0.004,0.9998,0.9998,0.9998,116.97,109.17,111.4,1.0,46.83,3,250,250,190,190,190,250,0,0
