seed	order	arm	retention	trace	requests	reset_before
32001	1	native_admit_all_lru	lru	traces/evaluation_seed_32001.jsonl	124	flush_cache+action_counters
32001	2	meritkv_write_through_lru	lru	traces/evaluation_seed_32001.jsonl	124	flush_cache+action_counters
32001	3	meritkv_skip_write_only_lru	lru	traces/evaluation_seed_32001.jsonl	124	flush_cache+action_counters
32001	4	meritkv_joint_skip_write_skip_lookup_lru	lru	traces/evaluation_seed_32001.jsonl	124	flush_cache+action_counters
32001	5	native_admit_all_lfu	lfu	traces/evaluation_seed_32001.jsonl	124	flush_cache+action_counters
32002	1	meritkv_write_through_lru	lru	traces/evaluation_seed_32002.jsonl	124	flush_cache+action_counters
32002	2	meritkv_skip_write_only_lru	lru	traces/evaluation_seed_32002.jsonl	124	flush_cache+action_counters
32002	3	meritkv_joint_skip_write_skip_lookup_lru	lru	traces/evaluation_seed_32002.jsonl	124	flush_cache+action_counters
32002	4	native_admit_all_lfu	lfu	traces/evaluation_seed_32002.jsonl	124	flush_cache+action_counters
32002	5	native_admit_all_lru	lru	traces/evaluation_seed_32002.jsonl	124	flush_cache+action_counters
32003	1	meritkv_skip_write_only_lru	lru	traces/evaluation_seed_32003.jsonl	124	flush_cache+action_counters
32003	2	meritkv_joint_skip_write_skip_lookup_lru	lru	traces/evaluation_seed_32003.jsonl	124	flush_cache+action_counters
32003	3	native_admit_all_lfu	lfu	traces/evaluation_seed_32003.jsonl	124	flush_cache+action_counters
32003	4	native_admit_all_lru	lru	traces/evaluation_seed_32003.jsonl	124	flush_cache+action_counters
32003	5	meritkv_write_through_lru	lru	traces/evaluation_seed_32003.jsonl	124	flush_cache+action_counters
32004	1	meritkv_joint_skip_write_skip_lookup_lru	lru	traces/evaluation_seed_32004.jsonl	124	flush_cache+action_counters
32004	2	native_admit_all_lfu	lfu	traces/evaluation_seed_32004.jsonl	124	flush_cache+action_counters
32004	3	native_admit_all_lru	lru	traces/evaluation_seed_32004.jsonl	124	flush_cache+action_counters
32004	4	meritkv_write_through_lru	lru	traces/evaluation_seed_32004.jsonl	124	flush_cache+action_counters
32004	5	meritkv_skip_write_only_lru	lru	traces/evaluation_seed_32004.jsonl	124	flush_cache+action_counters
32005	1	native_admit_all_lfu	lfu	traces/evaluation_seed_32005.jsonl	124	flush_cache+action_counters
32005	2	native_admit_all_lru	lru	traces/evaluation_seed_32005.jsonl	124	flush_cache+action_counters
32005	3	meritkv_write_through_lru	lru	traces/evaluation_seed_32005.jsonl	124	flush_cache+action_counters
32005	4	meritkv_skip_write_only_lru	lru	traces/evaluation_seed_32005.jsonl	124	flush_cache+action_counters
32005	5	meritkv_joint_skip_write_skip_lookup_lru	lru	traces/evaluation_seed_32005.jsonl	124	flush_cache+action_counters
