model_slug,model_params_B,dataset,mode,engine,seed,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_no_cache_pct
gemma4_e2b,2.3,ag_news,rag,vllm_no_cache,42,9.116678,8.843178,9.390178,109.679661,0,771.441,0.0
gemma4_e2b,2.3,ag_news,rag,vllm_apc,42,7.422877,7.200191,7.645563,134.707084,25606,603.956,18.5791
gemma4_e2b,2.3,ag_news,rag,vllm_apc_meritkv,42,7.396649,7.17475,7.618548,135.184752,25933,602.462,18.8668
gemma4_e2b,2.3,ag_news,rag,vllm_no_cache,123,8.985958,8.716379,9.255537,111.275184,0,764.232,0.0
gemma4_e2b,2.3,ag_news,rag,vllm_apc,123,7.311748,7.092396,7.5311,133.093762,25606,597.928,18.6314
gemma4_e2b,2.3,ag_news,rag,vllm_apc_meritkv,123,7.285186,7.06663,7.503742,137.253071,25933,596.408,18.927
gemma4_e2b,2.3,ag_news,rag,vllm_no_cache,456,8.927619,8.65979,9.195448,112.002324,0,759.25,0.0
gemma4_e2b,2.3,ag_news,rag,vllm_apc,456,7.312329,7.092959,7.531699,133.102188,25606,597.96,18.0932
gemma4_e2b,2.3,ag_news,rag,vllm_apc_meritkv,456,7.293309,7.07451,7.512108,137.100195,25933,596.871,18.3062
gemma4_e2b,2.3,ag_news,rag,vllm_no_cache,789,8.92702,8.659209,9.194831,112.009838,0,759.179,0.0
gemma4_e2b,2.3,ag_news,rag,vllm_apc,789,7.312909,7.093522,7.532296,133.110613,25606,597.991,18.0812
gemma4_e2b,2.3,ag_news,rag,vllm_apc_meritkv,789,7.294055,7.075233,7.512877,137.086174,25933,596.912,18.2924
gemma4_e2b,2.3,ag_news,rag,vllm_no_cache,999,8.983627,8.714118,9.253136,111.304054,0,763.98,0.0
gemma4_e2b,2.3,ag_news,rag,vllm_apc,999,7.313275,7.093877,7.532673,133.115927,25606,598.011,18.5933
gemma4_e2b,2.3,ag_news,rag,vllm_apc_meritkv,999,7.287244,7.068627,7.505861,137.214296,25933,596.521,18.8831
gemma4_e2b,2.3,ag_news,templated,vllm_no_cache,42,9.157295,8.882576,9.432014,109.192497,0,767.295,0.0
gemma4_e2b,2.3,ag_news,templated,vllm_apc,42,7.473492,7.249287,7.697697,133.793938,25494,602.123,18.3876
gemma4_e2b,2.3,ag_news,templated,vllm_apc_meritkv,42,7.449848,7.226353,7.673343,134.218576,25818,600.79,18.6458
