dataset,mode,baseline,n_requests,mean_ms,p95_ms,prompt_tokens_total,response_cached_tokens,vllm_queries,vllm_hits,vllm_cached_tokens,vllm_external_hits,admission_enabled,admission_selected_preset,admission_plans,admission_allow,admission_bypass,store_successes,admission_write_through_bypass,file
ag_news,rag,vllm_apc,256,52.685414268125896,54.196033685002476,41243,0,41243.0,25344.0,25344.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/ag_news/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json
ag_news,rag,vllm_apc_shadowkv_plus,256,52.102952113273204,54.27743523614481,41243,0,41243.0,25344.0,25344.0,0.0,True,low_latency,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/ag_news/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_rag.json
ag_news,templated,vllm_apc,256,52.62303347171837,54.425025009550154,38427,0,38427.0,22000.0,22000.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/ag_news/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json
ag_news,templated,vllm_apc_shadowkv_plus,256,52.27769170414831,54.495558550115675,38427,0,38427.0,22000.0,22000.0,0.0,True,low_latency,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/ag_news/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_ag_news_templated.json
daily_dialog,rag,vllm_apc,256,52.46795490347722,60.55663031293079,50606,0,50606.0,33664.0,33664.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/daily_dialog/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json
daily_dialog,rag,vllm_apc_shadowkv_plus,256,52.332586759803235,60.82343839807436,50606,0,50606.0,33664.0,33664.0,0.0,True,aggressive_prefix,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/daily_dialog/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_rag.json
daily_dialog,templated,vllm_apc,256,53.05029000101058,60.93332142336294,46766,0,46766.0,29584.0,29584.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/daily_dialog/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json
daily_dialog,templated,vllm_apc_shadowkv_plus,256,52.56768876915885,61.012353166006505,46766,0,46766.0,29584.0,29584.0,0.0,True,low_latency,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/daily_dialog/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_daily_dialog_templated.json
samsum,rag,vllm_apc,256,57.870400321007764,82.30920875212178,65170,0,65170.0,34832.0,34832.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/samsum/rag/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json
samsum,rag,vllm_apc_shadowkv_plus,256,57.867384009114176,82.06054603215307,65170,0,65170.0,34832.0,34832.0,0.0,True,aggressive_prefix,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/samsum/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_rag.json
samsum,templated,vllm_apc,256,58.61859068136255,82.3508333414793,61330,0,61330.0,30752.0,30752.0,0.0,False,balanced,0,0,0,0,0,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/samsum/templated/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json
samsum,templated,vllm_apc_shadowkv_plus,256,58.11980201269762,82.01519423164427,61330,0,61330.0,30752.0,30752.0,0.0,True,low_latency,256,255,1,256,1,results_vllm_apc_qwen32b_policy_overlay_warmup_parity_2026-05-27/full/samsum/templated/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-32B-Instruct_public_dataset_samsum_templated.json
