model,dataset,mode,runtime,native_arm,overlay_arm,native_mean_latency_ms,overlay_mean_latency_ms,latency_ratio_overlay_vs_native,native_p95_latency_ms,overlay_p95_latency_ms,p95_ratio_overlay_vs_native,throughput_ratio_overlay_vs_native,energy_ratio_overlay_vs_native,overlay_allows,overlay_bypasses
google/gemma-4-12B-it,ag_news,rag,vllm_apc,vllm_apc,vllm_apc_shadowkv_plus,22.102630015581326,24.9467335156055,1.1286771528102861,24.492711512721144,27.595075249337242,1.126664772702066,0.8859953479688436,1.0426764540264415,255,1
google/gemma-4-12B-it,ag_news,rag,sglang_radix_attention,sglang_radix_attention,sglang_radix_attention_shadowkv_plus,43.65173311776971,43.69839133988762,1.0010688744474825,45.173645252361894,45.44985300162807,1.006114356008313,0.9989352551629465,0.9903959229683734,255,1
google/gemma-4-12B-it,ag_news,rag,lmcache,lmcache,lmcache_shadowkv_plus,25.57474581249153,25.80737601550709,1.0090960905230948,27.005740001186496,27.849834003063734,1.0312560959944128,0.9909986658064512,0.9981566873261931,255,1
google/gemma-4-12B-it,ag_news,templated,vllm_apc,vllm_apc,vllm_apc_shadowkv_plus,21.749921300397546,26.308761394517433,1.209602601828107,24.312202254805015,29.371483497016015,1.208096378484639,0.826707628768103,1.046039617031476,255,1
google/gemma-4-12B-it,ag_news,templated,sglang_radix_attention,sglang_radix_attention,sglang_radix_attention_shadowkv_plus,43.97446991436027,41.05943943369539,0.9337108443526012,46.44480750357616,43.19855350331636,0.9301051253143887,1.0710038776694812,0.9742056182057778,255,1
google/gemma-4-12B-it,ag_news,templated,lmcache,lmcache,lmcache_shadowkv_plus,25.393438543005686,26.09290025790756,1.0275449783501074,26.764026009914232,28.240824498425354,1.0551784880183597,0.9731970382754873,1.0022567351890956,255,1
google/gemma-4-12B-it,daily_dialog,rag,vllm_apc,vllm_apc,vllm_apc_shadowkv_plus,22.52102262838207,24.22209717582291,1.075532740031843,27.049702999647707,28.433216248231474,1.0511470772378457,0.9297791549827888,1.0119091159348395,255,1
google/gemma-4-12B-it,daily_dialog,rag,sglang_radix_attention,sglang_radix_attention,sglang_radix_attention_shadowkv_plus,45.062291637009366,41.88612710584039,0.9295161338718865,49.64256899620523,46.280144506454235,0.9322673149730019,1.075838868142593,0.9720287591575572,255,1
google/gemma-4-12B-it,daily_dialog,rag,lmcache,lmcache,lmcache_shadowkv_plus,27.618098039170036,28.092772527230636,1.0171870809998351,34.982482244231505,35.37243149730784,1.0111469863788938,0.9831143382200254,1.0018497265410338,255,1
google/gemma-4-12B-it,daily_dialog,templated,vllm_apc,vllm_apc,vllm_apc_shadowkv_plus,21.888388504237355,23.07634057055452,1.0542731625074724,25.534712258377112,27.276818997052033,1.0682250389605776,0.948527422455774,1.0173367041730887,255,1
