log,store_events,stored_tokens,retrieve_events,retrieved_tokens
15_gemma4_26b_a4b_lmcache_shadowkv_plus.lmcache.log,855,223232,52,13312
17_gemma4_12b_lmcache.lmcache.log,855,223232,52,13312
18_gemma4_e2b_lmcache.lmcache.log,855,223232,52,13312
1_gemma4_12b_lmcache_shadowkv_plus.lmcache.log,855,223232,52,13312
20_gemma4_e2b_lmcache_shadowkv_plus.lmcache.log,855,223232,52,13312
21_gemma4_31b_lmcache.lmcache.log,855,223232,52,13312
26_gemma4_e4b_lmcache_shadowkv_plus.lmcache.log,855,223232,52,13312
2_gemma4_26b_a4b_lmcache.lmcache.log,855,223232,52,13312
30_gemma4_e4b_lmcache.lmcache.log,855,223232,52,13312
9_gemma4_31b_lmcache_shadowkv_plus.lmcache.log,855,223232,52,13312
