path,bytes,sha256
.gitattributes,156,e99fa2f5f6f0d4fe932f5955ce840622017d1569384c3500af4dca9b1d503e7f
.github/workflows/tests.yml,586,3f6ab5953ed0a4542d0de8d494ba06a840c8135b4bac4bfc0cf7a92e812fbe29
.gitignore,1974,53350df8aadf3e1d274d29b712e170744f8284c36cda5f75223c6129499c8539
ARTIFACT_MANIFEST.csv,5877,11f232ab2f337809047a15703774691566f2f1bb9665d40db889dd5f91ba58bd
CITATION.cff,862,def7f43fc6c597067bff188ee05141826eb86b7a8e84558929e5857255be8eb7
CLAIMS_TO_ARTIFACTS.md,10387,0c5fcce2e62e3b19a7b209bc42ebf4ca3bc55884a5d0a3e464ae10135653c166
LICENSE,1097,4a12da8761415fbfe0c86a80453852294741a8d7f10dd63155f76f66e6356dba
README.md,16364,400d7616deda67bc910419656d53d19044c3cddcef4e916c23afca47c9a8460f
config/config.yaml,2461,bfde8091663123bfe388b2f5d5af687592780e05c70a36a9f0755830e6ca432f
docs/DEPENDENCIES_AND_PACKAGES.md,1892,2c4b976b92220442cbb49429570d6e9f59d56fc24a0acba7b587d6bff6fb8649
docs/EXPERIMENT_CATALOG.md,4380,df0703344e0f2f975c6be6e8513077ed9d7f78a8a94da83aba20deeae630f079
docs/HARDWARE_AND_ENVIRONMENTS.md,2528,646b885255003a38e4249f4508890affae3e17bab4ab7d68d46e1f98d152b73e
docs/METHODOLOGY_INDEX.md,2644,bdfc927891c53f22023d315ebaefe066a3924a8cb5f2687bd6cf5eedb163950b
docs/RAW_EVIDENCE_COMPLETENESS.md,3878,a5057b9e870d8956b093702dc735fe74f7d873e0d3ed21595899f972e9a71531
docs/REPOSITORY_STRUCTURE.md,3281,1ad967895401f17b6742f1acb49a942932e23de2256b0d1df82d91168afaece5
docs/SECURITY_REDACTIONS.md,893,544405c19176d84b5378e9b5f99c9df139c217ac42ea89d5a9345fba61f886bb
docs/architectural_robustness.md,4164,26f7248f013885244a6b2ce0d7007047a5003d7f6432654e553f55be35532436
docs/artifact_manifest.md,3184,7d18951feea4fe3e8c0ecf79ccae56da9c8113645c7be2afd5f6755033aa2bc3
docs/assets/Diagram.pptx,45965,d9a9cea47ba95fed3ad088ab0ca5654ae296389d86e6808fced52d623582cedc
docs/design_overview.md,6881,9b67524b54bcef63fcec7341264b35b21cf5b22a335c7c1a43fb58dab5d5f5cf
docs/engine_failures.md,2553,4012d2d1c5072943a0b256a952d863316f851e87368ed8751b9da8448d127ada
docs/experimental_setup.md,6188,e252ad32418726bb9b474ace6dc5159a74383963ff292a2b30283799cff1de00
docs/fidelity_deep_analysis.md,5924,6be6ffb9c4e05d3c564d6278cd5b39937e5d26f32d93e533b50838697dc2715a
docs/learned_admission_baseline_math.md,9673,30f5dd328c042747bff051d5a41fbe749f8be51c67661129787e935c50b21285
docs/meritkv_research_design.md,4042,f80f9c36fb94eaeac412852c558891389e5455d410cd3e8432a899b178ce2754
docs/meritkv_sem_theory.tex,9842,139bfa8f9cf166416c61009192ee59aa9412b2b0d803b96f40db27b7c3bd930c
docs/policy_trace_logging.md,1438,86a40c34d36f56c577370717296ab569b1253b044fe06477cc17f838c546550a
docs/reports/INTEGRATION_REPORT.md,4197,886950635d36c34974fb246caad99cbffd7099ae6ed3fb7232f2860832abf713
docs/reports/PERFORMANCE_FASTPATH_REPORT.md,2001,01d9757498e8d33b689d1c73d8da1ef5b4840777741905af1d5cc8ff77edbdeb
docs/reports/RAW_MITIGATION_VARIANTS_REPORT.md,2386,717c07d8be34c37c351db07f00a4743e36af606f2cf5cc284c46543ba5686ba5
docs/reports/RAW_MODE_CONSERVATIVE_GATE_REPORT.md,2003,a9888a7c7e1d3b8fba172903f8103023a07013d8e7cb4b0ac7c4ef290ede52b1
docs/reports/README.md,1155,43cb2815a104077eb9e84875cf117a6c1316c1e67a4cb2c6566ae4f02b655557
docs/reports/README_MERITKV_BASE.md,5741,776175005406399c7b98dff1538eea1703e658973b240440ba9529253413f0ed
docs/reports/SEMANTIC_FIX_REPORT.md,3123,1c1dd54e62d57a3c76c72c60dccba3e4c4a8422f1faeca10229588df2ef96267
docs/reproducing_blackwell.md,2568,0b4ec5114394cd2ed15c12ec3da076f9e97fef9d10f93cec28c0a348f30a3516
docs/reproducing_p100.md,2228,ce906c982a99025f6223d0d62b2bf9936b0b4773557058e86684ed8c8d7c09af
docs/reproducing_results.md,3220,bad770f91bd776cfb14345b0cd9153015b48870ff223b0be497780f03b889620
docs/results_table.md,8067,271afbc65cf68f46b7c1a09b48e663d9d1dae012c6ce3c1611cbe0a06fd2986c
docs/runtime_experiments.md,5545,fcfbe9c9763c22dc68f9aa4d5833292e32be231cbd3c7bd638015b085b366fec
docs/semantic_correctness_ablations.md,3060,7c9b3ce8c6d3d5f74461c1c9ee5f318186d3367391ffd4c9e93e9d5f2ca69434
docs/semantic_fidelity.md,4586,6726d4347e66375c6954a9427fb4a7245e2a6c5ac858e3ed3ce9a4737d02dc9f
docs/semantic_paraphrase_novelty.md,3794,cc56f26946caa1200e3cb1f30b5cd899ed61a1a10d76922f7e35578fc5d319fa
experiments/README.md,1697,4684b06fc077c7707020b38883b0c10aa9abd72bd79bae00992ba4b7662c6db8
experiments/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
experiments/analyze_shadowkv_results.py,2911,1158fe8b2a5f2ae6bf31e72c28ab841ab6609fa7b4deab672061502ff7334fe0
experiments/archive/blackwell_longprefix_source_snapshots/README.md,551,9ba551d17e611bae934a741ba483f2f24fa894751f98dd704a546c2e044b3312
experiments/archive/blackwell_longprefix_source_snapshots/hf_blackwell_7model_longprefix_gemma4_e2b_20260713/source_snapshot/OPERATOR_NOTES_20260710.md,1594,ba795bca84bd69d99343dff96aaaba10bab747f77d24d782f327d01b8d954ae1
experiments/archive/blackwell_longprefix_source_snapshots/hf_blackwell_7model_longprefix_gemma4_e2b_20260713/source_snapshot/blackwell_semantic_n128/README.md,13984,e867b009421d2015ead9c7b215198fd9d7b437c6f5dde7abc9eb4bf6c1d7eb1d
experiments/archive/blackwell_longprefix_source_snapshots/hf_blackwell_7model_longprefix_gemma4_e2b_20260713/source_snapshot/blackwell_semantic_n128/run_blackwell_semantic_n128.py,27367,08f7c3bca4fac7221c8c17efdc58f10f65fa2e21435567a576a025ecfe103936
