[2026-06-17 04:31:00] INFO:     127.0.0.1:51830 - "GET /v1/models HTTP/1.1" 200 OK
[2026-06-17 04:31:01] INFO:     127.0.0.1:51844 - "GET /model_info HTTP/1.1" 200 OK
[2026-06-17 04:31:13] INFO:     127.0.0.1:51834 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:45678 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54502 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54504 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:51854 - "POST /generate HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54520 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54536 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54544 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54558 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:17] INFO:     127.0.0.1:54562 - "POST /flush_cache?timeout=30 HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54572 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54586 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54594 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54600 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54606 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54610 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54616 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54624 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54630 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54632 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54642 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54656 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54658 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54674 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54700 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54708 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54710 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54722 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54724 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-06-17 04:31:22] INFO:     127.0.0.1:54728 - "POST /v1/chat/completions HTTP/1.1" 200 OK
